Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Joshua Sprey;Chvatal_t2;23;ocelot;1280;4270;3;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;23;ocelot;1280;4270;4;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;23;ocelot;1280;4270;5;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;24;prpmc1100;1237;4190;1;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;24;prpmc1100;1237;4190;2;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;24;prpmc1100;1237;4190;3;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;24;prpmc1100;1237;4190;4;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;24;prpmc1100;1237;4190;5;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;25;mb93093;1244;4167;1;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;25;mb93093;1244;4167;2;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;25;mb93093;1244;4167;3;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;25;mb93093;1244;4167;4;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;25;mb93093;1244;4167;5;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
Joshua Sprey;Chvatal_t2;26;pati;1262;4272;1;1;600000;false;true;600000;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
